Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Oklahoma,10,7,-43,Big 12,A,F,Texas Tech,Big 12,5,Win,N,2,1.99,44,262,Completed,88.889,0,6,,,,,,,,,,,,
2018,West Virginia,10,12,-3,Big 12,A,F,Texas,Big 12,1,Win,N,-1,0.78,56,-480,Completed,87.5,0,7,,,,,,,,,,,,
2018,Ohio State,10,8,-42,Big 10,H,F,Nebraska,Big 10,5,Win,N,2,1.19,2,-426,Completed,88.889,0,8,,,,,,,,,,,,
2018,LSU,10,4,3,SEC,H,U,Alabama,SEC,-29,Lose,N,0,-2.84,-45,-636,Completed,77.778,0,9,,,,,,,,,,,,
2018,Washington State,10,10,-32,PAC 12,H,F,California,PAC 12,6,Win,N,0,2.04,55,-158,Completed,88.889,0,10,,,,,,,,,,,,
2018,UCF,10,9,-41,AAC,H,F,Temple,AAC,12,Win,N,-1,1.45,-99,-976,Completed,100,0,11,,,,,,,,,,,,
2018,Kentucky,10,11,5,SEC,H,U,Georgia,SEC,-17,Lose,N,0,-1.5,19,-170,Completed,77.778,0,12,,,,,,,,,,,,
2018,Syracuse,10,22,-28,ACC,A,F,Wake Forest,ACC,17,Win,N,-3,-0.93,-18,936,Completed,77.778,0,13,,,,,,,,,,,,
2018,Utah State,10,18,-32,MWC,A,F,Hawaii,MWC,39,Win,N,-1,1.97,30,426,Completed,88.889,0,14,,,,,,,,,,,,
2018,Texas,10,15,3,Big 12,H,U,West Virginia,Big 12,-1,Lose,N,1,-0.78,-56,480,Completed,66.667,0,15,,,,,,,,,,,,
2018,Fresno State,10,20,-30,MWC,A,F,UNLV,MWC,45,Win,N,0,2.78,-17,170,Completed,88.889,0,16,,,,,,,,,,,,
2018,Boston College,10,24,-26,ACC,A,F,Virgina Tech,ACC,10,Win,N,-1,0.32,-20,-116,Completed,77.778,0,17,,,,,,,,,,,,
2018,Mississippi State,10,21,-29,SEC,H,F,La. Tech,CUSA,42,Win,N,-1,4.4,-10,22,Completed,66.667,0,18,,,,,,,,,,,,
2018,Florida,10,13,-37,SEC,H,F,Missouri,SEC,-21,Lose,N,0,-1.61,-18,-552,Completed,66.667,0,19,,,,,,,,,,,,
2018,Washington,10,26,-7,PAC 12,H,F,Stanford,PAC 12,4,Win,N,-3,-1.18,57,316,Completed,70,0,20,,,,,,,,,,,,
2018,Penn State,10,14,9,Big 10,A,U,Michigan,Big 10,-35,Lose,N,3,-1.88,-45,-952,Completed,66.667,0,21,,,,,,,,,,,,
2018,N.C. State,10,41,-9,ACC,H,F,Florida State,ACC,19,Win,N,-2,-1.12,-71,900,Completed,75,0,22,,,,,,,,,,,,
2018,Iowa State,10,31,-19,Big 12,A,F,Kansas,Big 12,24,Win,N,-1,2.35,-13,-160,Completed,62.5,0,23,,,,,,,,,,,,
2018,Michigan State,10,29,-21,Big 10,A,F,Maryland,Big 10,21,Win,N,0,3.35,8,832,Completed,66.667,0,24,,,,,,,,,,,,
2018,Cincinnati,10,30,-20,AAC,H,F,Navy,AAC,42,Win,N,-1,4.34,-1,-52,Completed,88.889,0,25,,,,,,,,,,,,
2018,Utah,10,16,-34,PAC 12,A,F,Arizona State,PAC 12,-18,Lose,N,2,-1.64,-32,-790,Completed,66.667,0,26,,,,,,,,,,,,
2018,Auburn,10,38,13,SEC,H,F,Texas A&M,SEC,4,Win,N,-2,0.12,8,-1042,Completed,66.667,0,27,,,,,,,,,,,,
